,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_epochs,param_hidden_layers,param_learning_rate,param_mini_batch_size,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score,ID
0,484.10779396692914,136.24793294317607,0.5687786738077799,0.018560200827742113,175,"[200, 100, 50]",0.001,32,"{'epochs': 175, 'hidden_layers': [200, 100, 50], 'learning_rate': 0.001, 'mini_batch_size': 32}",0.019967876710527688,0.018156064790562976,0.02322522059809662,0.020449720699729095,0.0020973340812739964,274,0.02458947669106948,0.02627263555449766,0.027134981624656218,0.025999031290074453,0.0010570535501608646,1
1,402.7941602071126,51.572583392172476,0.6235184669494629,0.051994226142894805,175,"[200, 100, 50]",0.001,42,"{'epochs': 175, 'hidden_layers': [200, 100, 50], 'learning_rate': 0.001, 'mini_batch_size': 42}",0.01950907911977573,0.017036820681024634,0.02217385136219685,0.019573250387665737,0.0020976748268091397,331,0.024237340710982713,0.025182709692513017,0.02509382505921187,0.0248379584875692,0.00042624828810842276,2
2,366.7084976832072,47.51925310788173,0.8198263645172119,0.351169534312219,175,"[200, 100, 50]",0.001,52,"{'epochs': 175, 'hidden_layers': [200, 100, 50], 'learning_rate': 0.001, 'mini_batch_size': 52}",0.017776653971433465,0.015594326648668333,0.021280972299387524,0.018217317639829773,0.002342380988181931,379,0.02247692316873262,0.02390327538238024,0.02429350080737558,0.023557899786162812,0.000780790969103901,3
3,455.15343475341797,91.74177816004598,0.6359190146128336,0.05427911136120793,175,"[200, 100, 50]",0.001,62,"{'epochs': 175, 'hidden_layers': [200, 100, 50], 'learning_rate': 0.001, 'mini_batch_size': 62}",0.01730979847425218,0.017372104406252697,0.02174217505858389,0.018808025979696257,0.002074912627902434,373,0.021883236704057674,0.026089749833074327,0.02456320137566137,0.024178729304264457,0.0017386876768433798,4
4,297.5290029843648,97.13385486180574,0.6726760069529215,0.04529558820486603,175,"[200, 100, 50]",0.003,32,"{'epochs': 175, 'hidden_layers': [200, 100, 50], 'learning_rate': 0.003, 'mini_batch_size': 32}",0.020377393119317078,0.020364672665438954,0.023289260318354543,0.021343775367703526,0.0013756754031853862,175,0.023708923252368064,0.02936443847893566,0.02755268567879865,0.026875349136700793,0.0023580078757191487,5
5,288.8365316390991,100.12849373954971,0.6465506553649902,0.1121240978628884,175,"[200, 100, 50]",0.003,42,"{'epochs': 175, 'hidden_layers': [200, 100, 50], 'learning_rate': 0.003, 'mini_batch_size': 42}",0.019420606244626715,0.0198367521378342,0.02301420831875245,0.020757188900404455,0.0016049707873163513,235,0.02297172322961616,0.028933522186623484,0.026877036644005536,0.026260760686748392,0.00247259765463548,6
6,317.67899409929913,66.0746942131515,0.6599154472351074,0.02270414210231759,175,"[200, 100, 50]",0.003,52,"{'epochs': 175, 'hidden_layers': [200, 100, 50], 'learning_rate': 0.003, 'mini_batch_size': 52}",0.02093669467182724,0.019016748911934167,0.022999074247382234,0.020984172610381213,0.0016261241004968208,193,0.025379629551569693,0.028058945272296354,0.02703795478652582,0.02682550987013062,0.0011040932372192358,7
7,324.7876540025075,17.906295958547677,0.6506659189860026,0.03773027708141248,175,"[200, 100, 50]",0.003,62,"{'epochs': 175, 'hidden_layers': [200, 100, 50], 'learning_rate': 0.003, 'mini_batch_size': 62}",0.021124484745866257,0.01877394099141394,0.022785009455958072,0.02089447839774609,0.0016455687460463402,217,0.026106011907855997,0.02747010925666782,0.02661241368335865,0.02672951161596082,0.0005630123377118463,8
8,256.53156248728436,41.57770080495463,0.9247559706370035,0.42741374104707236,175,"[200, 100, 50]",0.005,32,"{'epochs': 175, 'hidden_layers': [200, 100, 50], 'learning_rate': 0.005, 'mini_batch_size': 32}",0.023459705260265418,0.019463630091294815,0.023641981917015387,0.022188439089525207,0.0019281673946223254,97,0.028077303398274633,0.02763199845541109,0.026340228051571546,0.027349843301752424,0.0007366891420778157,9
9,159.58078726132712,25.61707026749899,0.6075636545817057,0.01788008444798637,175,"[200, 100, 50]",0.005,42,"{'epochs': 175, 'hidden_layers': [200, 100, 50], 'learning_rate': 0.005, 'mini_batch_size': 42}",0.021069025651965445,0.019476117902086254,0.02302208139066686,0.021189074981572853,0.001450120258631694,187,0.024113810869595298,0.026267234663776118,0.025702324927542763,0.025361123486971393,0.0009116367429416951,10
10,270.80913225809735,62.301601526632595,0.580962340037028,0.01911808595528379,175,"[200, 100, 50]",0.005,52,"{'epochs': 175, 'hidden_layers': [200, 100, 50], 'learning_rate': 0.005, 'mini_batch_size': 52}",0.022297673204898505,0.018958432573822237,0.0234104767250104,0.021555527501243715,0.0018917821342360626,145,0.026561097622003205,0.02685461409421397,0.028114082072750235,0.027176597929655804,0.0006736445001036721,11
11,270.6489737033844,76.02809534325601,0.6237739721934,0.05645441881125043,175,"[200, 100, 50]",0.005,62,"{'epochs': 175, 'hidden_layers': [200, 100, 50], 'learning_rate': 0.005, 'mini_batch_size': 62}",0.022413600454206595,0.01869418076237439,0.023096097816315497,0.021401293010965494,0.0019343893450174208,169,0.027305381800458495,0.026228243140779317,0.027830860173256755,0.027121495038164856,0.0006670612636566576,12
12,206.97726694742838,45.98659870420247,0.6654013792673746,0.04476912172274276,175,"[200, 100, 50]",0.009,32,"{'epochs': 175, 'hidden_layers': [200, 100, 50], 'learning_rate': 0.009, 'mini_batch_size': 32}",0.02281743915180845,0.019796172071504192,0.02455881816096661,0.022390809794759752,0.0019676058039471487,67,0.025727192380889052,0.029082169807178815,0.027679379678327454,0.02749624728879844,0.001375771659057666,13
