,feature combination,R_squared
20,VehBrand_B12 and VehPower,0.03141325809889071
9,Exposure and DrivAge,0.03125598834023271
23,DrivAge and VehPower,0.031249354791743046
19,VehBrand_B12 and DrivAge,0.03120464234882765
16,VehAge and VehGas_Regular,0.03115518394018324
8,Exposure and VehBrand_B12,0.031110601596018195
6,BonusMalus and Density,0.031105827460909972
21,VehBrand_B12 and Density,0.031100153178339474
13,VehAge and VehAge,0.031092230869487092
29,VehGas_Regular and VehGas_Regular,0.031092230869487092
26,VehPower and VehPower,0.031092230869487092
22,DrivAge and DrivAge,0.031092230869487092
18,VehBrand_B12 and VehBrand_B12,0.031092230869487092
31,Density and Density,0.031092230869487092
7,Exposure and Exposure,0.031092230869487092
27,VehPower and VehGas_Regular,0.031087849651215048
30,VehGas_Regular and Density,0.031043456238881783
11,Exposure and VehGas_Regular,0.03102783488748282
2,BonusMalus and VehBrand_B12,0.031013521199184813
24,DrivAge and VehGas_Regular,0.030994552629629357
15,VehAge and VehPower,0.030989629813180587
28,VehPower and Density,0.03098397096314054
0,BonusMalus and Exposure,0.030979478679179828
14,VehAge and VehBrand_B12,0.030936960467475693
12,Exposure and Density,0.030903078522704464
3,BonusMalus and DrivAge,0.030808572087501606
17,VehAge and Density,0.03079121482468412
4,BonusMalus and VehPower,0.030716037603284497
25,DrivAge and Density,0.030533901195403335
5,BonusMalus and VehGas_Regular,0.03047138472661255
10,Exposure and VehPower,0.0303243377129657
1,BonusMalus and VehAge,0.030226150693508137
